,0,1,0,0,0,1,2,3,4
85,1095313420.0,0.39,3162.0,精確,"['000', '亞電', '000', '000']","['000', '000', '000', '000']","['000', '000', '000', '000']","['健椿', '000', '彩富', '亞泰金屬']",立碁8111
86,752868990.0,0.77,3163.0,波若威,"['000', '亨泰光']","['000', '000']",台林5353,大億金茂8107,美琪瑪4721
87,621969810.0,2.04,3169.0,亞信,亞信3169,寶碩5210,昇達科3491,閎康3587,長聖6712
88,667035150.0,0.29,3171.0,新洲,"['000', '磐儀', '000', '000']","['金麗科', '000', '系統電', '000']","['000', '000', '000', '000']","['000', '000', '000', '南良']",晟田4541
89,1393725050.0,0.55,3176.0,基亞,"['000', '國統']","['000', '000']",福華8085,佳邦6284,新漢8234
90,450500000.0,0.49,3178.0,公準,['000'],達爾膚6523,世鎧2063,盈正3628,智晶5245
91,1202951200.0,0.11,3188.0,鑫龍騰,"['000', '聿新科', '000', '000']","['000', '000', '000', '000']","['000', '000', '旭然', '久正']","['000', '000', '000', '000']",精星8183
92,871947610.0,-0.14,3191.0,和進,"['000', '新華', '000', '000']","['000', '000', '凌泰', '博晟生醫']","['000', '000', '000', '000']","['廣穎電通', '000', '000', '000']",大城地產6171
93,1171648700.0,-0.22,3202.0,樺晟,['000'],立端6245,光頡3624,寬魚國際6101,逸達6576
94,327726310.0,-0.69,3205.0,佰研,佰研3205,精測6510,東凌-KY2924,泓瀚4741,宇智6470
95,589166210.0,0.19,3206.0,志豐,"['000', '永純', '000', '000']","['000', '000', '000', '000']","['000', '000', '000', '000']","['晟田', '000', '禾昌', '安國']",天宇8171
96,437703410.0,0.03,3207.0,耀勝,"9999    000
4406    新昕纖
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
8921     沈氏
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","3390        旭軟
9999       000
5281    大峽谷-KY
5443        均豪
9999       000
Name: 0, dtype: string"
97,1492185210.0,17.74,3211.0,順達,順達3211,富強鑫6603,光隆8916,佶優5452,幃翔6185
98,586855470.0,0.48,3213.0,茂訊,"9999    000
3287    廣寰科
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","3213     茂訊
9999    000
4535     至興
5315     光聯
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
5410     國眾
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
99,901042030.0,1.74,3217.0,優群,"['000', '全家', '000']","['000', '000', '000']","['捷流閥業', '000', '000']",創惟6104,聯光通4903
100,761230000.0,2.42,3218.0,大學光,['000'],力旺3529,茂綸6227,方方土霖4527,碩禾3691
101,702839680.0,0.33,3219.0,倚強科,"['000', '江興鍛']","['000', '000']",鈊象3293,律勝3354,中探針6217
102,1028724100.0,3.8,3221.0,台嘉碩,台嘉碩3221,彩富5489,協益5356,博晟生醫6733,臺慶科3357
103,680160450.0,0.08,3224.0,三顧,"['000', '台聯櫃']","['三顧', '000']",泰藝8289,晟田4541,安可3615
104,644305730.0,1.21,3226.0,至寶電,['000'],豪勉6218,保銳8093,富強5102,台聯櫃5601
105,1437652440.0,1.15,3227.0,原相,"['000', '中華食', '000']","['000', '000', '000']","['000', '000', '維田']",擎亞8096,智擎4162
106,677927050.0,0.29,3228.0,金麗科,"['000', '磐儀', '000', '000']","['金麗科', '000', '系統電', '000']","['000', '000', '000', '000']","['000', '000', '000', '南良']",信立4303
107,710109000.0,-0.65,3230.0,錦明,"['000', '捷必勝-KY']","['000', '000']",御頂3522,中菲5403,擎邦6122
